Date,Close,High,Low,Open,Volume,Daily_Return,MA_50,MA_200
2024-05-10,181.6451416015625,183.669478466616,180.73220418072017,183.48093424482693,50759500,,,
2024-05-13,184.85035705566406,185.6640710757596,183.2030934113359,184.01680743143146,72044800,0.017645478573449447,,
2024-05-14,185.9915313720703,186.8548647149755,184.8602810891409,186.07091921634225,52393600,0.00617350344669676,,
2024-05-15,188.26397705078125,189.18683240943687,185.9320062923224,186.46787049037354,70400000,0.012218006174512297,,
2024-05-16,188.38304138183594,189.6333810173086,188.2044300863017,189.00821119957226,52845200,0.0006324328898170695,,
2024-05-17,188.41281127929688,189.34559954047234,187.72810435814964,188.0555735439889,41282900,0.00015802854249824527,,
2024-05-20,189.57382202148438,190.44707314635468,187.5594028379898,187.87695420764547,44361300,0.006162058377582769,,
2024-05-21,190.87376403808594,191.25083732912466,189.4547310855792,189.62342455766938,42309400,0.006857181032380311,,
2024-05-22,189.4348907470703,191.34016861791716,188.80973611420333,190.79438668312676,34648500,-0.0075383502717980555,,
2024-05-23,185.44577026367188,189.5341459487459,185.19768892080702,189.51429520164533,51005900,-0.02105800292473381,,
2024-05-24,188.52195739746094,189.11735863774422,186.59684388111853,187.37087155015982,36327000,0.016588068465596573,,
2024-05-28,188.5319061279297,191.51880009814326,187.64873713728954,190.04022981736387,52280100,5.277226380462352e-05,,
2024-05-29,188.82957458496094,190.7745388343773,188.05556206266323,188.15480064928906,53068000,0.0015788757624359828,,
2024-05-30,189.8218994140625,190.70506832278696,189.16697622567534,189.29596821795033,49889100,0.005255134590451016,,
2024-05-31,190.77455139160156,191.09210277636024,188.45251367186646,189.9707702687458,75158300,0.005018662127392437,,
2024-06-03,192.5408935546875,193.49353258818425,191.04248767189634,191.41956102246726,50080500,0.009258793430263035,,
2024-06-04,192.85842895507812,193.82098571162214,191.54855228534223,193.14619663099631,47471400,0.00164918420460336,,
2024-06-05,194.36676025390625,195.38885414673365,193.3744349100596,193.90036613096368,54156800,0.007820924949976993,,
2024-06-06,192.98741149902344,194.99191275531385,192.67979309240934,194.1881317208236,41181800,-0.007096628832424456,,
2024-06-07,195.3789520263672,195.4285713258788,192.65005711175448,193.15613762673084,53103900,0.012392209982856173,,
2024-06-10,191.6378631591797,195.7857909182053,190.6753063763642,195.3888517006261,97010200,-0.01914786023973869,,
2024-06-11,205.56019592285156,205.57012886730556,192.14396771907968,192.1638033246204,172373300,0.07264917555518546,,
2024-06-12,211.4347686767578,218.51003809526938,205.3121079690946,205.77850209290926,198134300,0.028578357437015756,,
2024-06-13,212.59579467773438,215.08652592836702,209.9760562824749,213.09195736730385,97862700,0.005491178240185857,,
2024-06-14,210.85919189453125,213.5186162217459,209.67832245756608,212.2087548022513,70122700,-0.00816856601437288,,
2024-06-17,215.0071258544922,217.2696263789355,211.08744385812574,211.73244926121387,93728300,0.019671582361160178,,
2024-06-18,212.64540100097656,216.95210469802018,211.36530791117931,215.92007781385274,79943300,-0.01098440269888512,,
2024-06-20,208.07078552246094,212.59580212894483,207.2471687535905,212.28816853161533,86172500,-0.021512882277170076,,
2024-06-21,205.89759826660156,210.26382387597764,205.5205097773767,208.77533580800622,241805100,-0.010444461246217451,,
2024-06-24,206.54261779785156,211.06761941054305,205.0045103276704,206.12584292738626,80727000,0.0031327200350088624,,
2024-06-25,207.4654541015625,209.75772308170346,207.0089778092255,207.54482679949032,55549700,0.004468018821249364,,
2024-06-26,211.61337280273438,213.21101716086312,209.02340313251779,209.87680350658064,66213200,0.019993298253603742,,
2024-06-27,212.4568634033203,214.0842763709762,210.7202940415425,213.04233172557286,49772700,0.003985998566226057,,
2024-06-28,209.00355529785156,214.41174043740799,208.68601906723538,214.1140398112984,82542700,-0.016254161198422268,,
2024-07-01,215.08651733398438,215.84067914098924,210.29358412725625,210.46227761796723,60402900,0.029104586414637534,,
2024-07-02,218.5795135498047,218.6886699462021,213.44919320249295,214.4911227279333,58046200,0.016239958966820955,,
2024-07-03,219.84970092773438,219.84970092773438,217.34903661716913,218.31159349071294,37369800,0.005811099847837564,,
2024-07-05,224.60293579101562,224.71209219476,219.9489270685169,219.9489270685169,60412400,0.021620383576703928,,
2024-07-08,226.07159423828125,226.10136279083508,221.53665960457084,225.34718574831138,59085900,0.006538910286694399,,
2024-07-09,226.92495727539062,227.63943274976205,224.63268810415036,226.180713251394,48076100,0.0037747468450632926,,
2024-07-10,231.19195556640625,231.29119415797783,227.49058625437067,227.54020555015646,62627700,0.01880356547048856,,
2024-07-11,225.823486328125,230.60648662367137,224.03729767642758,229.61416127735984,64710600,-0.02322083060861191,,
2024-07-12,228.7706756591797,230.8545649156238,226.92494993371525,227.16311346469493,53046500,0.01305085391681704,,
2024-07-15,232.60107421875,235.40935699641528,231.3011303310065,234.66511292556817,62631300,0.016743398377145224,,
